title,publishedDate,dislikeCount,commentCount,viewCount,likeCount
Lip ,5/30/2016,532,822,12162666,7525
'Sorry' ,5/30/2016,13235,16856,37078368,287753
Ariel ,5/30/2016,952,4547,4527895,92682
Boyfriend ,5/30/2016,807528,706851,537235736,2490059
INTERNET ,5/30/2016,6096,38220,2611380,142975
Type ,5/30/2016,157787,112273,389816391,1856058
Furever ,5/30/2016,4929,3926,24145817,111820
(Explicit) ,5/30/2016,1645,1058,2805808,25448
Review) ,5/30/2016,4578,7677,2715260,35068
Reading ,5/30/2016,2406,9832,7700482,111263
(2016-2017) ,5/30/2016,987,5016,645797,6567
Infared ,5/30/2016,9185,10223,23925405,210621
Church ,5/30/2016,95375,176684,333147460,1429586
English! ,5/30/2016,146,585,614900,7062
VIDEO) ,5/30/2016,1010,9121,1391940,8810
Andy ,5/30/2016,3686,3279,3917003,145843
Time ,5/30/2016,586278,500913,468007374,1390694
(La... ,5/30/2016,466,4125,2324490,17222
Video ,5/30/2016,843,1084,3078414,13942
Video ,5/30/2016,9,19,4041,87
Movement) ,5/30/2016,8466,12192,24986791,294397
Premiere ,5/30/2016,17898,34792,13761748,187093
(HBO) ,5/30/2016,2497,12238,3387270,54387
Witch ,5/30/2016,9749,17874,16309810,166949
Footage!!! ,5/30/2016,5565,14687,25288635,43573
(4K) ,5/30/2016,16414,22009,50998929,417513
IDOL ,5/30/2016,3729,3213,4895386,26329
*CHALLENGE*! ,5/30/2016,1067,13971,2714601,75297
Lam ,5/30/2016,7770,20666,10477205,94185
ToysReview ,5/30/2016,17421,1982,51105547,39404
edition!! ,5/30/2016,2657,2081,4698363,18815
Mistletoe ,5/30/2016,243242,403872,234294347,1304699
Hitman ,5/30/2016,495,3039,1816371,38563
Sean ,5/30/2016,264696,382072,325640545,1871836
Webcast ,5/30/2016,276,2426,1545007,20377
Video ,5/30/2016,4,26,20629,117
Video ,5/30/2016,5221,459,16537077,11065
hours ,5/30/2016,897,1978,5032492,19633
DC ,5/30/2016,2059,6953,670490,10902
TEDxRyersonU ,5/30/2016,1195,3174,6929577,83958
Officiel) ,5/30/2016,10420,23026,41787965,198046
handed....kinda ,5/30/2016,495,2915,2253408,30519
Video) ,5/30/2016,55,28,71245,572
SNL) ,5/30/2016,5729,11371,24090816,253648
Daya ,5/30/2016,12449,15941,73304662,502756
TBS ,5/30/2016,2013,5835,5270706,61548
Pope) ,5/30/2016,2778,1147,10248693,55652
